gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,1.2098686467361262,6.059288536516054,0.06333333333333334,0.058913653090570506,-0.0007054329861153064,0.0007054329861153064,0.011193595018807234
1.0,0.0,2.311090112261695,13.36328255221892,0.14666666666666667,0.09944016141824363,-0.0017746704564211013,0.0017746704564211013,0.020428752884595447
1.5,0.0,3.8291293290731403,19.90395063767534,0.23,0.336187661051369,-0.0049349981278422606,0.0049349981278422606,0.03091958008293
2.0,0.0,5.069833955532829,29.82055680659715,0.30666666666666664,0.20344764675522242,-0.0056118041522703055,0.0056118041522703055,0.04087522880165567
2.5,0.0,6.85207340165033,36.89959536503999,0.36666666666666664,0.0005327802601300391,-0.008364420078587065,0.008364420078587065,0.05404208209946437
3.0,0.0,7.8239107174555045,41.30664478183218,0.42333333333333334,0.28553462851479594,-0.00908222545683035,0.00908222545683035,0.059375975036992434
3.5,0.0,8.874410612293644,44.67329905475654,0.4666666666666667,0.510096431585481,-0.013110592450518599,0.013110592450518599,0.06711491086444188
4.0,0.0,9.63348700473793,46.15548910867578,0.48333333333333334,0.33501575242768666,-0.011770395087973451,0.011770395087973451,0.06119532543833328
4.5,0.0,11.120343784421578,44.91669393886053,0.5166666666666667,0.4786685942475799,-0.01642604490790872,0.01642604490790872,0.06375341712660998
5.0,0.0,10.760229130394151,44.44891683879866,0.5066666666666667,-0.05019603042364906,-0.015094959413063935,0.015094959413063935,0.06706177540011182
0.0,0.5,1.1675283042562512,7.630321982281541,0.09,-0.04091195851310658,0.0016281143719651392,-0.0016281143719651392,0.011041699374290781
0.5,0.5,1.6622027869555112,10.136133136299186,0.1,0.2243041838879094,0.0015879219693218927,-0.0015879219693218927,0.01462996389016219
1.0,0.5,2.7441726850537123,13.450802440846696,0.16,0.17043635403942403,0.0012088853355809448,-0.0012088853355809448,0.01993516667617906
1.5,0.5,3.755031512879526,19.59730128902965,0.23666666666666666,0.11635758551155106,-0.000797120644517868,0.000797120644517868,0.027607546221738
2.0,0.5,5.272946440653186,28.687714945234198,0.31333333333333335,0.37919844440659745,-0.0008422026543431493,0.0008422026543431493,0.03952547208096996
2.5,0.5,7.028162171729427,34.0281106803455,0.37,0.27845055991360823,-0.00449286033195373,0.00449286033195373,0.05637895289014261
3.0,0.5,7.867721152214585,42.29822406448123,0.43,0.6064389558688106,-0.00719656944983782,0.00719656944983782,0.05898072454720232
3.5,0.5,8.864782870203527,44.83507818356236,0.4666666666666667,0.7023618684444131,-0.008016846682071421,0.008016846682071421,0.06572521812860155
4.0,0.5,9.853679907162174,45.933543290959406,0.48333333333333334,0.7391711282904367,-0.007757018375440683,0.007757018375440683,0.06532373474431125
4.5,0.5,10.895162490309474,45.615423607842416,0.51,0.7880825944595102,-0.015289870554921092,0.015289870554921092,0.06705362776220947
5.0,0.5,11.4512706879718,42.60426110365902,0.5166666666666667,0.383691707296947,-0.012802320602567807,0.012802320602567807,0.06869823085572674
0.0,1.0,2.5927439790776248,15.313653327021035,0.14666666666666667,-0.23817909213705946,0.0032011621341948016,-0.0032011621341948016,0.02490234685494286
0.5,1.0,2.812230045051251,14.68143873658877,0.16333333333333333,-0.09333967312839775,0.003344572965082282,-0.003344572965082282,0.02621130596631649
1.0,1.0,3.067040347316464,17.255444875409232,0.19666666666666666,0.051190632155922344,0.0020662788112423836,-0.0020662788112423836,0.025727696891069407
1.5,1.0,4.151204578689196,23.294113953280533,0.27,0.07300061781786837,0.0023235321690773247,-0.0023235321690773247,0.030371772299295968
2.0,1.0,5.261251123689554,29.41091997765907,0.33666666666666667,0.3256382129389479,0.001728583547703444,-0.001728583547703444,0.041519197572671085
2.5,1.0,6.934570151496693,32.78279820585382,0.39666666666666667,0.3355426140766724,0.00011801416706275214,-0.00011801416706275214,0.04895235950448196
3.0,1.0,8.162529174769858,38.84114392352108,0.43,0.232904001025247,-0.0011418082246483774,0.0011418082246483774,0.058493945108522016
3.5,1.0,8.244918081562219,41.68493776792069,0.44333333333333336,0.34721463331922564,-0.0036326648272965167,0.0036326648272965167,0.06593353193576917
4.0,1.0,9.430893171254525,43.33916431750337,0.4766666666666667,0.09826876207693402,-0.005976439689033941,0.005976439689033941,0.06558193387470818
4.5,1.0,11.06765999611379,43.69980410014597,0.5233333333333333,0.4728686252615617,-0.009813768819463109,0.009813768819463109,0.06883293656289202
5.0,1.0,11.742692974473549,43.04491654097436,0.54,1.002384401633364,-0.01048590978160463,0.01048590978160463,0.06825011531297837
0.0,1.5,3.725011311646938,22.90378397619511,0.23666666666666666,-0.37073685454839733,0.002051133823832485,-0.002051133823832485,0.03508888087352946
