scenario,baseline_label,path_label,max_orientation_error_deg,median_orientation_error_deg,max_patch_displacement_cm,mean_patch_displacement_cm
exact_distance_plus_5cm,strong_diagonal,diagonal,2.0179413695586845e-12,2.4158453015843406e-13,2.0789287087658375,1.0942171796630138
exact_distance_plus_5cm,strong_diagonal,horizontal,1.2221335055073723e-12,2.2737367544323206e-13,1.914558215198069,1.0232042686009768
exact_distance_plus_5cm,strong_diagonal,vertical,1.1510792319313623e-12,2.4158453015843406e-13,1.9145582151980707,1.0232042686009768
exact_distance_plus_5cm,strong_horizontal,diagonal,1.5347723092418164e-12,1.9895196601282805e-13,1.7639321293411594,0.8541345618055806
exact_distance_plus_5cm,strong_horizontal,horizontal,7.673861546209082e-13,1.2789769243681803e-13,1.7609017682227133,0.9146559688492883
exact_distance_plus_5cm,strong_horizontal,vertical,1.0089706847793423e-12,1.6342482922482304e-13,1.4900462951204188,0.690163841822398
exact_true_distance,centered,diagonal,7.673861546209082e-13,1.1368683772161603e-13,1.6011864169946884e-15,1.3456584481039915e-16
exact_true_distance,centered,horizontal,3.410605131648481e-13,1.4210854715202004e-14,4.965068306494546e-16,9.526107635106733e-17
exact_true_distance,centered,vertical,3.410605131648481e-13,1.4210854715202004e-14,1.3322676295501878e-15,1.177045695807363e-16
exact_true_distance,mild_diagonal,diagonal,1.0231815394945443e-12,2.2026824808563106e-13,1.4043333874306805e-15,1.879218059876687e-16
exact_true_distance,mild_diagonal,horizontal,5.115907697472721e-13,1.0658141036401503e-13,9.930136612989092e-16,1.233380788928549e-16
exact_true_distance,mild_diagonal,vertical,1.1084466677857563e-12,3.197442310920451e-13,1.7763568394002505e-15,1.4863649337062479e-16
exact_true_distance,mild_horizontal,diagonal,1.0231815394945443e-12,1.5631940186722204e-13,1.4043333874306805e-15,1.5428279382823652e-16
exact_true_distance,mild_horizontal,horizontal,3.694822225952521e-13,1.4210854715202004e-14,9.155133597044475e-16,1.1883665667142982e-16
exact_true_distance,mild_horizontal,vertical,1.1084466677857563e-12,7.105427357601002e-14,1.3322676295501878e-15,1.1101025200722816e-16
exact_true_distance,mild_vertical,diagonal,1.2931877790833823e-12,1.7053025658242404e-13,1.4043333874306805e-15,1.7005112220569716e-16
exact_true_distance,mild_vertical,horizontal,3.410605131648481e-13,8.526512829121202e-14,6.280369834735101e-16,1.0065249473049022e-16
exact_true_distance,mild_vertical,vertical,3.410605131648481e-13,1.4210854715202004e-14,1.7763568394002505e-15,1.5925301194257981e-16
exact_true_distance,strong_diagonal,diagonal,1.9610979506978765e-12,3.197442310920451e-13,1.9860273225978185e-15,2.7002508832523175e-16
exact_true_distance,strong_diagonal,horizontal,1.4779288903810084e-12,1.9895196601282805e-13,9.930136612989092e-16,1.9736545596770523e-16
