center_az_deg,center_el_deg,scenario,center_displacement_cm,max_orientation_error_deg,median_orientation_error_deg,orientation_error_horizontal_deg,orientation_error_oblique_45_deg,orientation_error_vertical_deg,jacobian_det,jacobian_scale_major,jacobian_scale_minor
-12.5,-50.0,exact_true_distance,3.552713678800501e-15,1.0402345651527867e-11,5.073275133327115e-12,1.0174971976084635e-11,3.495870259939693e-12,0.0,1.0000000000000795,1.0000000000001328,0.9999999999999467
-10.0,-50.0,exact_true_distance,0.0,1.9042545318370685e-12,1.3429257705865894e-12,0.0,1.9042545318370685e-12,0.0,1.0000000000000684,1.0000000000000675,1.0000000000000009
-7.5,-50.0,exact_true_distance,0.0,6.622258297284134e-12,2.5366375666635577e-12,5.087485988042317e-12,6.394884621840902e-13,0.0,0.9999999999998908,1.0000000000000164,0.9999999999998743
-5.0,-50.0,exact_true_distance,3.5596458096434965e-15,5.172751116333529e-12,2.5437429940211587e-12,5.087485988042317e-12,1.9042545318370685e-12,0.0,0.9999999999999796,1.0000000000000355,0.999999999999944
-2.5,-50.0,exact_true_distance,3.552713678800501e-15,1.546140993013978e-11,7.631228982063476e-12,1.5234036254696548e-11,5.7980287238024175e-12,0.0,1.000000000000071,1.0000000000001725,0.9999999999998985
0.0,-50.0,exact_true_distance,3.552713678800501e-15,4.490630090003833e-12,3.147704319417244e-12,0.0,4.462208380573429e-12,0.0,1.0000000000001565,1.0000000000001563,1.0000000000000002
2.5,-50.0,exact_true_distance,3.552713678800501e-15,1.546140993013978e-11,7.617018127348274e-12,1.5262457964126952e-11,9.464429240324534e-12,0.0,1.000000000000071,1.0000000000001725,0.9999999999998985
5.0,-50.0,exact_true_distance,3.5596458096434965e-15,5.158540261618327e-12,2.5437429940211587e-12,5.115907697472721e-12,3.183231456205249e-12,0.0,0.9999999999999796,1.0000000000000355,0.999999999999944
7.5,-50.0,exact_true_distance,0.0,6.622258297284134e-12,2.5437429940211587e-12,5.115907697472721e-12,5.7411853049416095e-12,0.0,0.9999999999998908,1.0000000000000164,0.9999999999998743
10.0,-50.0,exact_true_distance,0.0,1.9042545318370685e-12,1.3429257705865894e-12,0.0,1.9042545318370685e-12,0.0,1.0000000000000684,1.0000000000000675,1.0000000000000009
12.5,-50.0,exact_true_distance,3.552713678800501e-15,1.0416556506243069e-11,5.094591415399918e-12,1.0174971976084635e-11,6.679101716144942e-12,0.0,1.0000000000000795,1.0000000000001328,0.9999999999999467
15.0,-50.0,exact_true_distance,3.66205343881779e-15,7.005951374594588e-12,4.931166586175095e-12,0.0,7.005951374594588e-12,0.0,0.9999999999996687,0.9999999999999565,0.9999999999997122
17.5,-50.0,exact_true_distance,0.0,5.172751116333529e-12,2.5437429940211587e-12,5.087485988042317e-12,1.9042545318370685e-12,0.0,0.9999999999998019,0.9999999999999467,0.9999999999998552
20.0,-50.0,exact_true_distance,3.552713678800501e-15,2.5579538487363607e-12,1.7905676941154525e-12,0.0,2.5437429940211587e-12,0.0,1.0000000000000462,1.0000000000000675,0.9999999999999787
22.5,-50.0,exact_true_distance,3.66205343881779e-15,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.9999999999999574,0.9999999999999787,0.9999999999999787
25.0,-50.0,exact_true_distance,3.66205343881779e-15,5.7411853049416095e-12,4.035882739117369e-12,0.0,5.7411853049416095e-12,0.0,0.9999999999998019,1.0000000000000009,0.999999999999801
27.5,-50.0,exact_true_distance,0.0,5.158540261618327e-12,2.5437429940211587e-12,5.115907697472721e-12,3.183231456205249e-12,0.0,0.9999999999999796,1.0000000000000355,0.999999999999944
30.0,-50.0,exact_true_distance,1.7763568394002505e-15,1.0345502232667059e-11,5.101696842757519e-12,1.0174971976084635e-11,3.808509063674137e-12,0.0,1.0000000000000018,1.0000000000000924,0.9999999999999094
32.5,-50.0,exact_true_distance,0.0,1.1439738045737613e-11,5.101696842757519e-12,1.0174971976084635e-11,8.895995051716454e-12,0.0,1.0000000000001794,1.0000000000002007,0.9999999999999787
35.0,-50.0,exact_true_distance,0.0,2.5579538487363607e-12,1.7905676941154525e-12,0.0,2.5437429940211587e-12,0.0,1.0000000000000462,1.0000000000000675,0.9999999999999787
37.5,-50.0,exact_true_distance,3.552713678800501e-15,1.3244516594568267e-11,5.094591415399918e-12,1.0174971976084635e-11,1.2789769243681803e-12,0.0,0.9999999999998241,1.0000000000000542,0.99999999999977
40.0,-50.0,exact_true_distance,0.0,1.8388846001471393e-11,7.631228982063476e-12,1.5234036254696548e-11,1.5276668818842154e-11,0.0,0.9999999999998685,1.0000000000001228,0.9999999999997458
42.5,-50.0,exact_true_distance,7.105427357601002e-15,5.4001247917767614e-12,2.5437429940211587e-12,5.115907697472721e-12,1.2789769243681803e-12,0.0,0.999999999999913,1.0000000000000062,0.9999999999999067
45.0,-50.0,exact_true_distance,3.552713678800501e-15,1.7564616427989677e-11,7.638334409421077e-12,1.5262457964126952e-11,1.3983481039758772e-11,0.0,0.999999999999913,1.00000000000013,0.9999999999997831
47.5,-50.0,exact_true_distance,3.552713678800501e-15,1.8388846001471393e-11,7.645439836778678e-12,1.5262457964126952e-11,1.5262457964126952e-11,0.0,1.0000000000000462,1.0000000000002116,0.9999999999998346
50.0,-50.0,exact_true_distance,7.944109290391274e-15,1.0771827874123119e-11,5.073275133327115e-12,1.0174971976084635e-11,7.631228982063476e-12,0.0,1.0000000000002238,1.0000000000002112,1.0000000000000127
