drift_path,drift_deg,gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change,condition,time_samples
diagonal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_simple_24_times,24
azimuth,1.0,1.0,0.0,0.01601219308890478,0.038068095836555925,0.0,0.0015852598369434645,2.2132272541330877e-06,-2.2132272541330877e-06,0.00020311132652567343,moving_simple_24_times,24
elevation,1.0,0.0,1.0,0.015337381186554921,0.03644728085171493,0.0,0.0009285360236361839,-2.470288933964504e-06,2.470288933964504e-06,0.0001999775171054874,moving_simple_24_times,24
diagonal,1.0,1.0,1.0,0.017806416112826184,0.03863338053033374,0.0,-0.0008042215204113745,-2.849350514028126e-05,2.849350514028126e-05,0.00018535401428237952,moving_simple_24_times,24
azimuth,2.0,2.0,0.0,0.019088876457630022,0.04041919538878885,0.0,-0.0009712642481858325,-2.6063063619519156e-05,2.6063063619519156e-05,0.00021058424099767992,moving_simple_24_times,24
elevation,2.0,0.0,2.0,0.013530561824367737,0.03540464454690806,0.0,-3.845869802177049e-05,-1.4772877562074793e-05,1.4772877562074793e-05,0.00019339082438035726,moving_simple_24_times,24
diagonal,2.0,2.0,2.0,0.015190713850401494,0.03867029049511217,0.0,0.0008480223398521503,-4.463876618315821e-05,4.463876618315821e-05,0.00020920386958533932,moving_simple_24_times,24
azimuth,3.0,3.0,0.0,0.019105495016503937,0.03830390130580667,0.0,0.0009017042016239429,-1.3679649388975701e-05,1.3679649388975701e-05,0.00019619936503473268,moving_simple_24_times,24
elevation,3.0,0.0,3.0,0.015197952063175535,0.03714141104868816,0.0,0.0009389211769601502,-1.5784248541650392e-05,1.5784248541650392e-05,0.00020586344830098025,moving_simple_24_times,24
diagonal,3.0,3.0,3.0,0.015923427044285177,0.03589264949099515,0.0,-0.0016300897553804816,-3.7120136016921546e-05,3.7120136016921546e-05,0.00018555141910592265,moving_simple_24_times,24
azimuth,4.0,4.0,0.0,0.018723496335873335,0.03672188511459353,0.0,-0.001329574124106614,1.608792699453465e-05,-1.608792699453465e-05,0.00017669469604680854,moving_simple_24_times,24
elevation,4.0,0.0,4.0,0.013362336630549976,0.033036317521987255,0.0,0.0017538672485386542,-4.105323455960708e-06,4.105323455960708e-06,0.00012928510333976018,moving_simple_24_times,24
diagonal,4.0,4.0,4.0,0.012529801887119163,0.03188601309661436,0.0,0.00010140823608395522,-4.738509063684226e-06,4.738509063684226e-06,0.00014413940085694632,moving_simple_24_times,24
azimuth,5.0,5.0,0.0,0.01035648703782499,0.033415767155580055,0.0,-0.0011313062510396321,1.8183464790655357e-05,-1.8183464790655357e-05,0.00011248496594284951,moving_simple_24_times,24
elevation,5.0,0.0,5.0,0.014211573669037136,0.028234455783594105,0.0,0.003416831057251102,5.723595312534524e-06,-5.723595312534524e-06,0.00014587224512063734,moving_simple_24_times,24
diagonal,5.0,5.0,5.0,0.016425072279375286,0.04214636231774875,0.0,0.00075228616179146,-7.211394858264164e-06,7.211394858264164e-06,0.00018626528067411385,moving_simple_24_times,24
azimuth,6.0,6.0,0.0,0.01289353625458034,0.03536358966654802,0.0,0.0013260724664903023,-1.1733305609884503e-05,1.1733305609884503e-05,0.0001628990217438231,moving_simple_24_times,24
elevation,6.0,0.0,6.0,0.01612210018197402,0.03795990128930242,0.0,-0.001169671938676231,-1.4557092553046935e-05,1.4557092553046935e-05,0.00020384265803236046,moving_simple_24_times,24
diagonal,6.0,6.0,6.0,0.019101455514899612,0.0389132017695772,0.0,0.003571118313459465,-1.657310852931637e-05,1.657310852931637e-05,0.0002166981771831722,moving_simple_24_times,24
azimuth,7.0,7.0,0.0,0.016117331826258408,0.03872855379290314,0.0,0.0017282381869421215,-2.664448172673417e-05,2.664448172673417e-05,0.00021362880978803567,moving_simple_24_times,24
elevation,7.0,0.0,7.0,0.016274311590976254,0.037427018996953616,0.0,-0.0017724964998180326,-4.540445091150147e-05,4.540445091150147e-05,0.00016480565399268343,moving_simple_24_times,24
diagonal,7.0,7.0,7.0,0.01466344322328439,0.03325440385196998,0.0,0.0007495179838628019,-9.755094302565936e-06,9.755094302565936e-06,0.00017567678758240168,moving_simple_24_times,24
azimuth,8.0,8.0,0.0,0.014032929486177181,0.038304005604197756,0.0,0.00029198996029577984,-3.450032901197719e-05,3.450032901197719e-05,0.0001860458477470628,moving_simple_24_times,24
elevation,8.0,0.0,8.0,0.014511569640724531,0.039235646039463744,0.0,0.0019148634148677957,-7.096690398444849e-06,7.096690398444849e-06,0.0001973502660694848,moving_simple_24_times,24
diagonal,8.0,8.0,8.0,0.016165681671516552,0.03670311130681653,0.0,-0.0015182016214652094,-3.664398965830262e-05,3.664398965830262e-05,0.00015204659528311737,moving_simple_24_times,24
azimuth,9.0,9.0,0.0,0.015907439156549685,0.03695020390843096,0.0,0.000782499175642215,2.491241465951699e-06,-2.491241465951699e-06,0.00016394082138115884,moving_simple_24_times,24
elevation,9.0,0.0,9.0,0.009940907683386513,0.032350074756094215,0.0,-0.0002799781949960334,-2.2454070044086727e-05,2.2454070044086727e-05,0.00017913439073513615,moving_simple_24_times,24
diagonal,9.0,9.0,9.0,0.016892687939076723,0.04100976607615791,0.0,0.0013504461399946877,-2.252459855245359e-06,2.252459855245359e-06,0.00019655198535406537,moving_simple_24_times,24
azimuth,10.0,10.0,0.0,0.014521171035866587,0.035426557752663256,0.0,0.0006066765504684213,1.0176567205699705e-05,-1.0176567205699705e-05,0.00017514255109807308,moving_simple_24_times,24
elevation,10.0,0.0,10.0,0.013912214152533409,0.03341542918786473,0.0,-0.0022943560231851734,-5.65743668029528e-06,5.65743668029528e-06,0.0001661715848459977,moving_simple_24_times,24
diagonal,10.0,10.0,10.0,0.016184932792789652,0.03263295279645604,0.0,0.002904573028487789,1.579914883059752e-05,-1.579914883059752e-05,0.00021277097415339785,moving_simple_24_times,24
azimuth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
