gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.901483220632052,5.323482988507152,0.04,0.08905155615009619,-0.0005770169721326379,0.0005770169721326379,0.008950250663841475
1.0,0.0,1.8716427062073535,11.866546683081237,0.12,0.1248302769521672,-0.0022114285411951595,0.0022114285411951595,0.01639730208001683
1.5,0.0,2.806847808902468,18.462945724485436,0.19333333333333333,0.20087538698537344,-0.0035920296825405207,0.0035920296825405207,0.025857315838893058
2.0,0.0,3.69544659025523,27.587731548916455,0.26666666666666666,0.24530482390278507,-0.004395765600532009,0.004395765600532009,0.03430884547369367
2.5,0.0,4.798051460419458,34.66804609825704,0.31666666666666665,-0.08299665953091306,-0.0048073576431483245,0.0048073576431483245,0.04322964425107023
3.0,0.0,5.961159445878991,41.03168693694331,0.36333333333333334,-0.034700505299923634,-0.007497169795737391,0.0074971697957374045,0.046060967532570496
3.5,0.0,6.71245441870154,48.093440937552685,0.4033333333333333,0.09091376949578489,-0.009944719147177594,0.009944719147177594,0.04645958826260105
4.0,0.0,7.820822138345413,49.023303047086685,0.43666666666666665,0.3189549086608636,-0.010519314512644373,0.010519314512644373,0.056648284384473946
4.5,0.0,8.966505942459094,46.2437501464703,0.46,0.319652260361579,-0.013488644956003826,0.013488644956003826,0.06747493874871835
5.0,0.0,9.55130611437265,48.176405016553744,0.47,0.22921801604336167,-0.015552234883093319,0.015552234883093319,0.0693298451516095
0.0,0.5,0.9228489766594237,5.618338813156869,0.07,-0.013805293574222333,0.0006454571245047558,-0.0006454571245047558,0.008257579992919817
0.5,0.5,1.1940177091537834,8.68571130858384,0.07333333333333333,0.04974518194902089,7.07775665044208e-05,-7.07775665044208e-05,0.011437074807275516
1.0,0.5,1.9075327778089957,13.95242508926211,0.15333333333333332,0.22269580416251245,-0.0007382190185190041,0.0007382190185190041,0.016013550800846432
1.5,0.5,3.0561282507543552,18.408521093687327,0.2,0.5006306802736304,-0.0014415225515028163,0.0014415225515028163,0.023949838228162268
2.0,0.5,3.9222630398587484,27.885089065855038,0.2833333333333333,0.33517561725151523,-0.0018406909892630385,0.0018406909892630385,0.03191077016550947
2.5,0.5,4.509200646020787,31.40845839884289,0.33666666666666667,-0.0725441993711371,-0.0049542349776732775,0.0049542349776732775,0.04233717880915283
3.0,0.5,5.313972376734391,40.651684033786275,0.36666666666666664,0.16808377253706652,-0.0062076280269878215,0.0062076280269878215,0.047497214746009486
3.5,0.5,6.371892339341059,45.94995574314409,0.38333333333333336,0.2226272612431046,-0.005656905574819293,0.005656905574819293,0.05102163259000192
4.0,0.5,7.5989548683784065,48.198959303389096,0.44333333333333336,0.41793449455446563,-0.007149624611763217,0.007149624611763217,0.05898664459574904
4.5,0.5,8.604865077904762,49.269760424023886,0.4666666666666667,0.7168368096365683,-0.012881402064345515,0.012881402064345515,0.06743169281346473
5.0,0.5,10.365072048236534,49.96984344560629,0.5066666666666667,0.4501810100711552,-0.01894365384023544,0.01894365384023544,0.06426065924530078
0.0,1.0,1.9451624174130444,14.525217438761246,0.14,-0.13101972598290956,0.00024577569560491064,-0.00024577569560491064,0.017467682377067695
0.5,1.0,2.091034648925195,12.905243966192097,0.15,0.1391467033290823,0.0015746066530687997,-0.0015746066530687997,0.016597592630668512
1.0,1.0,2.585773318928638,17.671935505081194,0.17333333333333334,0.12133564653623807,-0.0004797741842842429,0.0004797741842842429,0.021793969254294387
1.5,1.0,3.012439211419718,23.02116205603381,0.21333333333333335,0.3669396015335593,8.240998955688639e-05,-8.240998955688639e-05,0.0314539056874642
2.0,1.0,4.0631386291161675,29.412587472947763,0.30666666666666664,0.4613918230043623,-0.0014347567028323294,0.0014347567028323294,0.03889521055188572
2.5,1.0,4.958995851830096,31.56290944495415,0.3466666666666667,0.35215006463181453,-0.003648679807327082,0.003648679807327082,0.042607913738383296
3.0,1.0,5.927993149457137,41.5095507864564,0.38666666666666666,0.3370959478885709,-0.004508208140503678,0.004508208140503678,0.052849687238815835
3.5,1.0,6.356001679921121,46.80699061757721,0.4033333333333333,0.4319012727999194,-0.0037675629142018274,0.0037675629142018274,0.056962276135325896
4.0,1.0,7.912946152560977,47.65093672031053,0.43333333333333335,0.733587919454024,-0.008240618671932709,0.008240618671932709,0.06202902736789229
4.5,1.0,9.17484420485836,50.51363769563825,0.47333333333333333,0.7484974226921608,-0.014644674144202063,0.014644674144202063,0.06236953203482809
5.0,1.0,10.022955431000803,50.87591762446249,0.49666666666666665,0.7269649502268294,-0.01771880513371904,0.01771880513371904,0.06353251327934178
0.0,1.5,2.8879215331878356,20.988563226642427,0.22,-0.20292343530472579,-6.640479786618192e-05,6.640479786618192e-05,0.025916323385730133
0.5,1.5,2.5747239044639514,20.14255547224182,0.22666666666666666,-0.060710456303667115,0.001912560579491518,-0.001912560579491518,0.025117863864603407
