gaze_az_deg,gaze_el_deg,population_response_correlation,median_per_neuron_response_change,median_relative_response_change,fraction_large_response_change,rdm_similarity_to_baseline,image_discriminability,shifted_image_discriminability
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9645812799327296,0.9645812799327296
1.0,0.0,0.9451838277663748,2.449917727917012,0.4017645430521676,0.34375,0.9819136000531578,0.9645812799327296,0.9681553932273216
2.0,0.0,0.8145348392334277,4.6025780579866105,0.7449646388135431,0.70625,0.9391685563085599,0.9645812799327296,0.9587472029810361
3.0,0.0,0.6493284423009784,5.991649600521879,0.9406097948331982,0.825,0.9215199700036502,0.9645812799327296,0.9539407836725909
4.0,0.0,0.47747282329504837,7.08119005321602,1.0566374430580878,0.8875,0.9343482952582011,0.9645812799327296,0.9692792244482263
5.0,0.0,0.32672687627895464,7.91140153965428,1.076908054476966,0.9375,0.9366211066316549,0.9645812799327296,0.9855385221001571
0.0,1.0,0.9198416135355594,2.594662045540093,0.3956847779666253,0.375,0.9832516359358358,0.9645812799327296,0.9658513954785587
1.0,1.0,0.8837816683762976,3.3554546461315145,0.527439483174442,0.51875,0.9542711380163234,0.9645812799327296,0.9739907670349075
2.0,1.0,0.7677470070660083,5.088783805017426,0.8203181579288293,0.7625,0.9075070387321228,0.9645812799327296,0.9751861574002895
3.0,1.0,0.6070788994592056,6.239727658536899,0.971030091307004,0.86875,0.896121656045862,0.9645812799327296,0.9721187056576875
4.0,1.0,0.43912548114433886,7.2569669040674025,1.0344308455732742,0.89375,0.927492194776247,0.9645812799327296,0.9787883432167935
5.0,1.0,0.2885864041528723,7.957122708187944,1.084037024886236,0.9375,0.9297212978508781,0.9645812799327296,0.9821951716362683
0.0,2.0,0.7243612359510697,4.7834176442972725,0.7566618597052472,0.725,0.9162090643926034,0.9645812799327296,0.9712630136844099
1.0,2.0,0.720565708249474,4.354572147728076,0.7087080593525729,0.7,0.8879264036762196,0.9645812799327296,0.9809206512678443
2.0,2.0,0.6351312116801819,5.335928993060142,0.872220647643221,0.79375,0.8659360821385742,0.9645812799327296,0.9756650484349839
3.0,2.0,0.4976905903169072,6.360729907161998,0.9962989511137924,0.85,0.8707652764496385,0.9645812799327296,0.9704570545375603
4.0,2.0,0.34747901162826034,7.28666054297158,1.038201847271717,0.9,0.9077010359779804,0.9645812799327296,0.9763948510992643
5.0,2.0,0.2146420035284668,7.465038812695104,1.1142430110291197,0.9375,0.902707018191539,0.9645812799327296,0.9805722467313405
0.0,3.0,0.5033670453261844,6.090005712604643,0.9842417437908606,0.8625,0.8586859981311902,0.9645812799327296,0.9835984248253122
1.0,3.0,0.5260568450140325,5.799338575191809,0.9558167414870995,0.8375,0.8483631784709121,0.9645812799327296,0.9955399082809698
2.0,3.0,0.4718979967927513,6.55004797419133,0.998631137132231,0.8375,0.8154263524159896,0.9645812799327296,0.9880132008689205
3.0,3.0,0.3630544796582672,7.0176144237464255,1.004869483713254,0.90625,0.8130840134090283,0.9645812799327296,0.974654317546152
4.0,3.0,0.23756041585835597,7.233634643518853,1.0286575482528724,0.9375,0.8487630065950069,0.9645812799327296,0.9778628849647628
5.0,3.0,0.12940769329125332,7.42181580322317,1.0585690276319344,0.95625,0.8431167941622848,0.9645812799327296,0.9835881638099012
0.0,4.0,0.3282682378279911,7.6828554184498,1.0700544489946642,0.94375,0.8042899096173552,0.9645812799327296,1.0010609588902353
1.0,4.0,0.3559798729654339,7.167568402998454,1.0403469126817628,0.89375,0.8195729205118114,0.9645812799327296,1.0043814039340422
2.0,4.0,0.3200121891862793,7.240257579612642,1.0206240015056882,0.91875,0.792077999999383,0.9645812799327296,0.9979199598675923
3.0,4.0,0.234637927094241,7.318817131327805,1.03808477763405,0.94375,0.7295972280693062,0.9645812799327296,0.976265517214156
4.0,4.0,0.133033654997757,7.443964563718023,1.0353582316241905,0.9625,0.6802338696019521,0.9645812799327296,0.9676678659512735
5.0,4.0,0.048379904991370314,7.735140890510312,1.0436025496691865,0.9625,0.663771553153531,0.9645812799327296,0.9754518967640377
0.0,5.0,0.20576506943414843,8.604647235918378,1.1246761842536306,0.9875,0.6864293324954961,0.9645812799327296,1.005722725294733
1.0,5.0,0.2267222612622878,8.245477561697532,1.1223274409959922,0.95625,0.6822656687471101,0.9645812799327296,1.0024040492164858
2.0,5.0,0.20558699850331075,8.038831323191559,1.086121939936979,0.9625,0.6615606247156101,0.9645812799327296,0.9953130020906175
3.0,5.0,0.13887510515565663,8.185470432821543,1.0723082807598776,0.975,0.5899746954104527,0.9645812799327296,0.9737905427366336
4.0,5.0,0.056154871892110624,8.20209593188098,1.0313870384041457,0.975,0.48239079641588106,0.9645812799327296,0.9583541104349773
5.0,5.0,-0.009475904583279389,7.833354265549205,1.060669888606224,0.975,0.4107391474178852,0.9645812799327296,0.971429542687612
