condition,session_index,weeks_from_reference,measured_gaze_deg,applied_gaze_az_deg,applied_gaze_el_deg,circuit_drift_amplitude_deg,mapping_mode,mapping_error_name,static_grating_median_abs_delta_po_deg,static_grating_p90_abs_delta_po_deg,static_grating_fraction_abs_delta_po_gt_threshold,static_grating_median_signed_delta_po_deg,static_grating_median_circular_variance_change,static_grating_median_tuning_strength_change,static_grating_median_abs_tuning_strength_change,moving_grating_median_abs_delta_po_deg,moving_grating_p90_abs_delta_po_deg,moving_grating_fraction_abs_delta_po_gt_threshold,moving_grating_median_signed_delta_po_deg,moving_grating_median_circular_variance_change,moving_grating_median_tuning_strength_change,moving_grating_median_abs_tuning_strength_change,natural_population_response_correlation,natural_median_per_neuron_response_change,natural_median_relative_response_change,natural_fraction_large_response_change,natural_rdm_similarity_to_baseline,natural_image_discriminability,natural_shifted_image_discriminability
gaze_only,0,0.0,0.0,0.0,0.0,0.0,exact,perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9645812799327296,0.9645812799327296
gaze_only,1,1.0,1.0,0.7071067811865476,0.7071067811865475,0.0,exact,perfect,2.048010414891934,10.7052579031677,0.125,0.20933987133599885,0.0011216060297720154,-0.0011216060297720154,0.02271595910588403,0.7010158502145245,1.6015432886370289,0.0,0.02437599259879164,-0.0007622717076040675,0.0007622717076040675,0.006395377573044758,0.9365780845574616,2.501588712749177,0.38630225513987676,0.39375,0.9762144061380443,0.9645812799327296,0.9711667443980522
gaze_only,2,2.0,2.0,1.4142135623730951,1.414213562373095,0.0,exact,perfect,3.151376073350164,19.67495768028319,0.225,0.3665729260306705,0.0016460199673973275,-0.0016460199673973275,0.032896953961562336,1.1511976754217699,2.4687165472554735,0.0,0.05984332879115328,0.001445694717295054,-0.001445694717295054,0.010630326585413907,0.7879235452271465,4.4387662680906725,0.6690331825102974,0.66875,0.9136232630910235,0.9645812799327296,0.9763346850707403
gaze_only,3,3.0,3.0,2.121320343559643,2.1213203435596424,0.0,exact,perfect,4.892710454430016,28.28145757348924,0.31875,0.6220467361080253,-0.0003504907675951352,0.0003504907675951352,0.04578129984516799,1.030810068496372,2.7867928669303255,0.0,-0.054853787396993425,0.0009473013778692474,-0.0009473013778692474,0.010455161558033277,0.6013794196025525,5.574185111076977,0.9122967489473209,0.80625,0.8581188344644983,0.9645812799327296,0.9751274612124289
gaze_only,4,4.0,4.0,2.8284271247461903,2.82842712474619,0.0,exact,perfect,6.358829707725988,32.51986599991578,0.35625,0.6521069432642719,0.0006785457055152877,-0.0006785457055152877,0.06747404334769513,0.944724039063118,2.2923946905369346,0.0,-0.03696298757714089,0.0021163752333255847,-0.0021163752333255847,0.011189141483643139,0.4089852092146315,6.766573706170104,0.996785219740905,0.89375,0.8221553284462668,0.9645812799327296,0.9742020912830027
gaze_plus_mapping_error,0,0.0,0.0,0.0,0.0,0.0,approximate,slight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9645812799327296,0.9645812799327296
gaze_plus_mapping_error,1,1.0,1.0,0.7071067811865476,0.7071067811865475,0.0,approximate,slight,2.013328548294595,13.34074236180587,0.11875,0.32379498397241946,0.0005764333738322858,-0.0005764333738322858,0.019831417983090627,0.7353983674123867,1.6493548337772423,0.0,-0.0894353502105929,-0.0009979541107755785,0.0009979541107755785,0.006644946233609783,0.9364763548461416,2.5320633023983077,0.3945063544421811,0.4,0.9761351172776944,0.9645812799327296,0.971170482418345
gaze_plus_mapping_error,2,2.0,2.0,1.4142135623730951,1.414213562373095,0.0,approximate,slight,2.9725459233923317,20.360537702980928,0.21875,0.28327176816548416,0.0024302031571443727,-0.0024302031571443727,0.03552634522016124,1.0703491683244195,2.3285960216862147,0.0,0.04172642723860065,0.0011233914442819737,-0.0011233914442819737,0.010733574620762243,0.7867710890091829,4.454083489086976,0.6751642799831806,0.675,0.9131958688162914,0.9645812799327296,0.9762179017579928
gaze_plus_mapping_error,3,3.0,3.0,2.121320343559643,2.1213203435596424,0.0,approximate,slight,4.531485584836844,27.67723866686742,0.325,0.6216610687213517,-0.0016552895842763538,0.0016552895842763538,0.05177287181939455,1.084593179482134,2.471047798806113,0.0,-0.007641647422630626,0.00030987285284594934,-0.00030987285284594934,0.009808056278093669,0.5965161208036089,5.557584799003758,0.9198082373730174,0.8125,0.8586129153373968,0.9645812799327296,0.9744771822377712
gaze_plus_mapping_error,4,4.0,4.0,2.8284271247461903,2.82842712474619,0.0,approximate,slight,6.724437669731927,31.163464729125497,0.36875,0.7551725731127945,0.00033888714519914043,-0.00033888714519914043,0.07021568877537482,0.9810243392255558,2.2772991830340086,0.0,0.1417980570911297,0.0022893968579946744,-0.0022893968579946744,0.010630950967468744,0.39813812666511944,6.851453906668545,1.0007700556054897,0.9,0.8239667474667933,0.9645812799327296,0.9737159484268466
circuit_drift_only,0,0.0,0.0,0.0,0.0,0.0,exact,perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9645812799327296,0.9645812799327296
circuit_drift_only,1,1.0,1.0,0.0,0.0,1.0,exact,perfect,1.048389674672812,5.051374094985885,0.03125,0.16564181362442554,0.0002240596260524863,-0.0002240596260524863,0.00773144144122595,0.6351697420226614,1.4714166666868405,0.0,-0.0036681761328907214,0.00042273346857740757,-0.00042273346857740757,0.0035705101734008204,0.998822748417411,0.19458422756703503,0.03071100546118944,0.0,0.9998911942489407,0.9645812799327296,0.9622050299546661
circuit_drift_only,2,2.0,2.0,0.0,0.0,2.0,exact,perfect,2.2023723471025534,11.029646999413012,0.1125,0.2445895249108503,-0.0014291549229383804,0.0014291549229383804,0.014905302687298227,1.2191819130936352,2.8959229609867787,0.0,0.01711532876787203,-0.0001410548808541412,0.0001410548808541412,0.005331058642177533,0.9952895765215392,0.39250313053584057,0.06186015603703139,0.0,0.9995576642918098,0.9645812799327296,0.958933171769841
circuit_drift_only,3,3.0,3.0,0.0,0.0,3.0,exact,perfect,3.250759352288341,15.158636844915456,0.18125,0.38185198066301496,0.000128174466695552,-0.000128174466695552,0.023560146158621786,1.636717954094486,4.130742769296453,0.0,0.2343045669021464,0.00045842419189279227,-0.00045842419189279227,0.0077967122038130054,0.9894269381907824,0.5782879670159023,0.09235014140930106,0.0,0.9989896278067134,0.9645812799327296,0.9548592825093535
circuit_drift_only,4,4.0,4.0,0.0,0.0,4.0,exact,perfect,4.131499040375431,20.958302817799236,0.2,0.42302134296635074,0.0010328451665847505,-0.0010328451665847505,0.030556235464743953,1.929208421988271,5.364812737651985,0.00625,0.16324463901050024,9.525932533749337e-05,-9.525932533749337e-05,0.009882462717451856,0.9812996809804683,0.7523323886322046,0.12311021683151178,0.01875,0.9981816372755019,0.9645812799327296,0.9500831800410372
gaze_plus_circuit_drift,0,0.0,0.0,0.0,0.0,0.0,exact,perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9645812799327296,0.9645812799327296
gaze_plus_circuit_drift,1,1.0,1.0,0.7071067811865476,0.7071067811865475,1.0,exact,perfect,1.950701486456751,11.629820846806654,0.125,0.06973583644147396,0.0012201428140806714,-0.0012201428140806714,0.020025072214367612,0.8719090096498476,1.9359732022995502,0.0,-0.1291427536755947,-0.0014786581966501067,0.0014786581966501067,0.006823862492627619,0.9384782781504752,2.546562451938591,0.3774640108807641,0.38125,0.9771419243082089,0.9645812799327296,0.9684851115533247
gaze_plus_circuit_drift,2,2.0,2.0,1.4142135623730951,1.414213562373095,2.0,exact,perfect,3.443230647711559,23.344224876981194,0.25,0.09018353647827837,0.0072691064703554464,-0.0072691064703554464,0.036342942403240874,1.3691306681280224,3.6395990122020985,0.0,0.14128143503418755,-0.000703625427010246,0.000703625427010246,0.010083164093979802,0.793162584895843,4.539556761733777,0.6629679840042874,0.66875,0.9181538740019694,0.9645812799327296,0.971439989527189
gaze_plus_circuit_drift,3,3.0,3.0,2.121320343559643,2.1213203435596424,3.0,exact,perfect,5.403595763195902,37.064167972606576,0.35,-0.007580919430957067,0.007282608711254301,-0.007282608711254301,0.051673847507774484,1.7648543041497007,4.620705646599641,0.0,0.24456821477264157,0.000770158742578686,-0.000770158742578686,0.011324121607638571,0.6048297869890609,5.5410160652125136,0.8941235256711086,0.83125,0.8658051074313716,0.9645812799327296,0.9652129497137063
gaze_plus_circuit_drift,4,4.0,4.0,2.8284271247461903,2.82842712474619,4.0,exact,perfect,7.395216168072388,35.31404500678161,0.425,0.560677909364685,0.0032240693327554304,-0.0032240693327554304,0.06715114018481033,2.166597356570122,5.923832311128309,0.0,0.005039408790260325,0.0020641933446181593,-0.0020641933446181593,0.011588053070770599,0.4038801792081028,6.405379389108676,0.9782610728368455,0.90625,0.8327906821971844,0.9645812799327296,0.9556663392203761
