scenario,max_median_abs_delta_po_deg,diag_5_5_median_abs_delta_po_deg,az_5_el_0_median_abs_delta_po_deg,az_0_el_5_median_abs_delta_po_deg,max_mapping_displacement_deg_0to5
exact_perfect,12.696066064290846,12.389048535437524,10.6678991114388,10.12751045577157,0.0
no_correction,12.971426993078111,12.26191505427181,10.760229130394151,10.172740264985777,0.03432714790392311
undercorrect_5cm_if_true15,13.525869932716631,11.711853411563894,11.599626798626645,12.497644910170635,3.551312435071549
overcorrect_5cm_if_true15,10.650094497359731,10.650094497359731,9.55130611437265,8.232260497805115,1.775656217535774
