gaze_az_deg,gaze_el_deg,median_abs_op_shift_deg,p90_abs_op_shift_deg,fraction_abs_op_shift_gt_threshold,median_signed_op_shift_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change,population_response_correlation,median_per_neuron_response_change,median_relative_response_change,fraction_large_response_change,rdm_similarity_to_baseline,image_discriminability,shifted_image_discriminability,condition,summary_radius
5.0,5.0,9.486045611394601,37.27510808502709,0.48125,2.2913456275408777,0.006685732644729825,-0.006685732644729825,0.07828901332427424,-0.009475904583279389,7.833354265549205,1.060669888606224,0.975,0.4107391474178852,0.9645812799327296,0.971429542687612,default,10.0
5.0,5.0,16.021338743842065,53.351302200594596,0.66875,0.08083933731010973,0.016221376162032453,-0.016221376162032453,0.12130697835861684,0.16725335280068568,7.656615645905279,1.0129753838470066,0.99375,0.5904925194850952,0.9163820337542349,0.9661722270204011,broad_rf,10.0
5.0,5.0,9.30958337709648,26.646625050515933,0.45625,1.2223697687871748,-4.994164200361473e-05,4.994164200361473e-05,0.057416766868806424,0.18706418471101238,5.861362691822086,0.9741183203773287,0.98125,0.3479272920567439,0.8973297526334052,0.8958198079285837,narrow_rf,10.0
5.0,5.0,11.826135717671875,35.57184088372066,0.55,1.3789619693888824,-0.010421129554707531,0.010421129554707531,0.08931352345547322,0.05844078200676469,5.963659456831779,0.9440342836714262,0.9625,-0.08941215352188113,1.0167196939872256,0.9547848353899221,low_jitter,10.0
5.0,5.0,11.616152179131873,40.34803531435276,0.53125,-1.3495252337498158,0.0040107301932876815,-0.0040107301932876815,0.0971708448380415,0.17859587281537925,5.180237329617654,0.9873717843982214,0.95625,0.7298241733635061,0.8955301262729669,0.8666550244902942,high_jitter,10.0
5.0,5.0,13.47335675840219,59.40016707935075,0.625,-2.1051824612995063,-0.019345992812632162,0.019345992812632218,0.11299324072086117,0.24754992313299137,5.977469105893546,0.917427735942799,0.975,0.17781077285862465,0.9946790026957901,0.9320941800116733,low_snr,10.0
5.0,5.0,8.83115735347284,33.46861348756757,0.48125,1.4378955863004563,-0.017161601342484956,0.017161601342484956,0.0772192523139082,0.15569984743688312,5.3026859561292845,1.0703819006026885,0.975,0.2524476817355902,0.9507593605302533,0.9691220634307918,high_snr,10.0
5.0,5.0,11.469267793782421,33.86319917006127,0.54375,1.4195401197831927,0.0014377191806296263,-0.0014377191806296263,0.10080806234454326,0.16289601935669992,5.331641865633428,1.0903961338376116,0.91875,0.2981873997359082,0.8594336796474307,0.9869360274251696,mapping_error_none,10.0
5.0,5.0,10.934171094261657,32.20871977636211,0.54375,-0.6467383994050806,-0.009106475628955613,0.009106475628955613,0.10521684117259233,0.16942875834396007,4.659849285313912,1.0967574324551084,0.9625,0.7635289138052217,0.8907381868527157,0.9056581184356051,mapping_error_small,10.0
5.0,5.0,10.5179012146003,28.646437762239174,0.5125,2.23306913278239,0.009864562931264198,-0.009864562931264198,0.08147014930343577,0.08268644304673685,5.338146843507016,1.028527316087269,0.99375,0.47249764172620035,0.9848224902218184,0.9212871615565357,mapping_error_medium,10.0
