baseline_label,baseline_az_deg,baseline_el_deg,path_label,session_index,gaze_shift_az_deg,gaze_shift_el_deg,gaze_shift_magnitude_deg,effective_center_az_deg,effective_center_el_deg,effective_center_radius_deg,scenario,center_az_deg,center_el_deg,center_displacement_cm,max_orientation_error_deg,median_orientation_error_deg,orientation_error_horizontal_deg,orientation_error_oblique_45_deg,orientation_error_vertical_deg,jacobian_det,jacobian_scale_major,jacobian_scale_minor,patch_mean_displacement_cm,patch_median_displacement_cm,patch_max_displacement_cm,patch_mean_radial_error_cm,patch_mean_abs_tangential_error_cm,patch_max_abs_tangential_error_cm,patch_mean_normalized_error,patch_p95_displacement_cm,patch_corner_displacement_cm,patch_center_displacement_cm
centered,0.0,0.0,horizontal,2,1.0,0.0,1.0,1.0,0.0,1.0,exact_distance_plus_5cm,1.0,0.0,0.08727532464108789,1.4210854715202004e-14,0.0,0.0,0.0,0.0,1.7777777777777777,1.3333333333333335,1.3333333333333333,0.2834887529302786,0.286531790986757,0.5608353767286969,0.28348875293027853,4.1882065599356764e-17,3.885780586188048e-16,0.3331350386674598,0.4659263352617379,0.4373146592980149,0.08727532464108789
centered,0.0,0.0,horizontal,2,1.0,0.0,1.0,1.0,0.0,1.0,planar_no_correction,1.0,0.0,2.658612411438055e-05,0.0043635239782133795,0.0030737362335671037,0.0,0.0043635239782133795,0.0,0.9995419714960675,0.9998471028351531,0.9996948220000634,0.001295018544612941,0.0009080727027069513,0.006612678482317543,-0.0012323584553921734,0.00036466870002422523,0.0023689084261272137,0.0012003495125816022,0.003864441067489112,0.003225143061604345,2.658612411438055e-05
centered,0.0,0.0,horizontal,3,1.5,0.0,1.5,1.5,0.0,1.5,exact_true_distance,1.5,0.0,0.0,4.263256414560601e-14,1.4210854715202004e-14,0.0,2.842170943040401e-14,0.0,1.000000000000001,1.0000000000000009,1.0000000000000002,5.602702285113672e-17,2.7755575615628914e-17,2.482534153247273e-16,-5.96291389697346e-19,2.890068570559886e-17,2.3915410848715594e-16,6.783550796454991e-17,1.5700924586837752e-16,0.0,0.0
centered,0.0,0.0,horizontal,3,1.5,0.0,1.5,1.5,0.0,1.5,exact_distance_minus_5cm,1.5,0.0,0.13092960784593466,8.526512829121202e-14,4.263256414560601e-14,0.0,5.684341886080802e-14,0.0,0.44444444444444553,0.6666666666666682,0.6666666666666667,0.2952150539661012,0.29561844289937017,0.5959587994842985,-0.2952150539661012,2.3863541356469766e-17,1.942890293094024e-16,0.33333333333333337,0.5023507619889418,0.41247297499322017,0.13092960784593466
centered,0.0,0.0,horizontal,3,1.5,0.0,1.5,1.5,0.0,1.5,exact_distance_plus_5cm,1.5,0.0,0.1309296078459346,8.526512829121202e-14,4.263256414560601e-14,0.0,5.684341886080802e-14,0.0,1.7777777777777821,1.3333333333333364,1.3333333333333335,0.2952150539661012,0.29561844289937045,0.5959587994842983,0.2952150539661012,4.825854171955943e-17,3.0531133177191805e-16,0.3333333333333333,0.5023507619889417,0.41247297499322005,0.1309296078459346
centered,0.0,0.0,horizontal,3,1.5,0.0,1.5,1.5,0.0,1.5,planar_no_correction,1.5,0.0,8.974183907972666e-05,0.00981855202121551,0.006916345533163337,0.0,0.009818552021201299,0.0,0.9989711456321207,0.9996567329925871,0.9993141772192001,0.0015281493574455878,0.0010043649485271212,0.00791740759379576,-0.0014621651806652723,0.00040248883667830644,0.0026798350400637798,0.0013230662900503801,0.004817229493006125,0.002735665970730624,8.974183907972666e-05
centered,0.0,0.0,horizontal,4,2.0,0.0,2.0,2.0,0.0,2.0,exact_true_distance,2.0,0.0,0.0,1.1368683772161603e-13,8.526512829121202e-14,0.0,1.1368683772161603e-13,0.0,1.0000000000000033,1.0000000000000036,0.9999999999999998,6.659131116365884e-17,6.938893903907228e-18,3.1401849173675503e-16,-7.235294831562251e-18,2.837326502620863e-17,3.121465642018263e-16,6.539212456389827e-17,2.220446049250313e-16,0.0,0.0
centered,0.0,0.0,horizontal,4,2.0,0.0,2.0,2.0,0.0,2.0,exact_distance_minus_5cm,2.0,0.0,0.1746038474587387,8.526512829121202e-14,5.684341886080802e-14,0.0,8.526512829121202e-14,0.0,0.4444444444444453,0.6666666666666682,0.6666666666666665,0.3115196557654176,0.30965365077088214,0.6322712230463806,-0.3115196557654176,2.459262055681338e-17,2.7755575615628914e-16,0.33313503866745986,0.5409858651236366,0.390998146949499,0.1746038474587387
centered,0.0,0.0,horizontal,4,2.0,0.0,2.0,2.0,0.0,2.0,exact_distance_plus_5cm,2.0,0.0,0.17460384745873858,8.526512829121202e-14,5.684341886080802e-14,0.0,8.526512829121202e-14,0.0,1.7777777777777812,1.3333333333333364,1.333333333333333,0.3115196557654176,0.3096536507708819,0.6322712230463815,0.3115196557654176,4.7320490773894404e-17,4.718447854656915e-16,0.3331350386674598,0.5409858651236367,0.3909981469494991,0.17460384745873858
centered,0.0,0.0,horizontal,4,2.0,0.0,2.0,2.0,0.0,2.0,planar_no_correction,2.0,0.0,0.00021276677791715048,0.01745675436933425,0.012296818296228196,0.0,0.01745675436933425,0.0,0.9981724154065899,0.9993902355094478,0.9987814368606102,0.0018632207887991597,0.0011546050734204886,0.009446959892184343,-0.001792420571433929,0.00045530817027456205,0.0030122774923202877,0.0014950009107922134,0.006035561727463412,0.002353617077113386,0.00021276677791715048
