gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change,population_response_correlation,median_per_neuron_response_change,median_relative_response_change,fraction_large_response_change,rdm_similarity_to_baseline,image_discriminability,shifted_image_discriminability,condition,summary_radius
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9645812799327296,0.9645812799327296,gaze_only_perfect_noiseless,0.0
1.0,0.0,1.5876147075202454,13.187187380427934,0.13125,0.35286881590760544,0.0004887074850489781,-0.0004887074850489781,0.02128964562330876,0.9451838277663748,2.449917727917012,0.4017645430521676,0.34375,0.9819136000531578,0.9645812799327296,0.9681553932273216,gaze_only_perfect_noiseless,1.0
2.0,0.0,3.922635871026266,24.25542679138264,0.26875,0.38667934977588914,-0.0041801240715083066,0.0041801240715083066,0.02951607086037511,0.8145348392334277,4.6025780579866105,0.7449646388135431,0.70625,0.9391685563085599,0.9645812799327296,0.9587472029810361,gaze_only_perfect_noiseless,2.0
3.0,0.0,5.0657664262267375,26.877367298305277,0.3625,0.7202952034392354,-0.007679695429053723,0.007679695429053723,0.0390219663782822,0.6493284423009784,5.991649600521879,0.9406097948331982,0.825,0.9215199700036502,0.9645812799327296,0.9539407836725909,gaze_only_perfect_noiseless,3.0
4.0,0.0,7.113107562383981,35.59510571897183,0.39375,0.6387069610668448,-0.003045389349989769,0.003045389349989769,0.04722767177635512,0.47747282329504837,7.08119005321602,1.0566374430580878,0.8875,0.9343482952582011,0.9645812799327296,0.9692792244482263,gaze_only_perfect_noiseless,4.0
5.0,0.0,8.944806649728662,38.35973890722551,0.4625,0.18624091856295877,-0.006930597193165522,0.006930597193165522,0.06836470513197501,0.32672687627895464,7.91140153965428,1.076908054476966,0.9375,0.9366211066316549,0.9645812799327296,0.9855385221001571,gaze_only_perfect_noiseless,5.0
0.0,1.0,2.198990731206237,8.844298455444394,0.08125,-0.10099611378245754,0.000783075485487339,-0.000783075485487339,0.018572847418583893,0.9198416135355594,2.594662045540093,0.3956847779666253,0.375,0.9832516359358358,0.9645812799327296,0.9658513954785587,gaze_only_perfect_noiseless,1.0
1.0,1.0,2.40090886017051,16.142435860991366,0.175,0.2504255373841744,0.0030529137004272067,-0.0030529137004272067,0.024974148180174904,0.8837816683762976,3.3554546461315145,0.527439483174442,0.51875,0.9542711380163234,0.9645812799327296,0.9739907670349075,gaze_only_perfect_noiseless,2.0
2.0,1.0,3.845697440126081,21.988166675168213,0.2625,0.6919431934687381,0.0008813982628952943,-0.0008813982628952943,0.03289878526795992,0.7677470070660083,5.088783805017426,0.8203181579288293,0.7625,0.9075070387321228,0.9645812799327296,0.9751861574002895,gaze_only_perfect_noiseless,3.0
3.0,1.0,5.60151957643717,34.882424663794986,0.35,0.660115746350769,-0.004387023675181567,0.004387023675181567,0.046405981634162374,0.6070788994592056,6.239727658536899,0.971030091307004,0.86875,0.896121656045862,0.9645812799327296,0.9721187056576875,gaze_only_perfect_noiseless,4.0
4.0,1.0,6.8316206293956725,37.23012790213672,0.4,0.3390393935062832,-0.009207304059898613,0.009207304059898613,0.06157423009990637,0.43912548114433886,7.2569669040674025,1.0344308455732742,0.89375,0.927492194776247,0.9645812799327296,0.9787883432167935,gaze_only_perfect_noiseless,5.0
5.0,1.0,9.399116784715275,38.7647661877232,0.4875,1.8567173175692488,-0.007056838610822236,0.007056838610822236,0.0755412842160646,0.2885864041528723,7.957122708187944,1.084037024886236,0.9375,0.9297212978508781,0.9645812799327296,0.9821951716362683,gaze_only_perfect_noiseless,6.0
0.0,2.0,4.125306141564131,23.462419405273568,0.20625,0.16650475351086413,0.007230770115159657,-0.007230770115159657,0.038287798898391845,0.7243612359510697,4.7834176442972725,0.7566618597052472,0.725,0.9162090643926034,0.9645812799327296,0.9712630136844099,gaze_only_perfect_noiseless,2.0
1.0,2.0,3.564725706024973,24.09165167896136,0.2375,-0.1072449136124618,0.001849111501367573,-0.001849111501367573,0.03621039143865934,0.720565708249474,4.354572147728076,0.7087080593525729,0.7,0.8879264036762196,0.9645812799327296,0.9809206512678443,gaze_only_perfect_noiseless,3.0
2.0,2.0,4.313716587220277,29.42548453982197,0.3,0.5838884403016422,-0.00039631354916447314,0.00039631354916447314,0.042792254239476246,0.6351312116801819,5.335928993060142,0.872220647643221,0.79375,0.8659360821385742,0.9645812799327296,0.9756650484349839,gaze_only_perfect_noiseless,4.0
3.0,2.0,6.160964869438857,31.865907246192275,0.36875,1.017972472113371,-0.0051848374487361015,0.0051848374487361015,0.052928310245838606,0.4976905903169072,6.360729907161998,0.9962989511137924,0.85,0.8707652764496385,0.9645812799327296,0.9704570545375603,gaze_only_perfect_noiseless,5.0
4.0,2.0,8.201892425804445,34.40759806415569,0.43125,1.2347286231502466,-0.0027440588964458557,0.0027440588964458557,0.0732108514154371,0.34747901162826034,7.28666054297158,1.038201847271717,0.9,0.9077010359779804,0.9645812799327296,0.9763948510992643,gaze_only_perfect_noiseless,6.0
