gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change,condition,drift_deg,n_phases
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_1_phase,0.0,1
1.0,1.0,4.224721334130891,22.86314280404287,0.29375,0.2579011778193774,0.007844520619509465,-0.007844520619509465,0.04424298310835606,simple_1_phase,1.0,1
2.0,2.0,9.050862696191189,58.248635591956436,0.41875,1.5646074407792128,0.012073649609132486,-0.012073649609132486,0.09263221462748278,simple_1_phase,2.0,1
5.0,5.0,14.127038324352128,51.00188472939764,0.6125,1.9959921644012653,0.015364559530034128,-0.015364559530034128,0.1330477201645291,simple_1_phase,5.0,1
10.0,10.0,19.256843663856216,43.318194356771556,0.7125,-0.6348382306347062,0.009585867546949733,-0.009585867546949733,0.1621255919048411,simple_1_phase,10.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_2_phases,0.0,2
1.0,1.0,2.40090886017051,16.142435860991366,0.175,0.2504255373841744,0.0030529137004272067,-0.0030529137004272067,0.024974148180174904,simple_2_phases,1.0,2
2.0,2.0,4.313716587220277,29.42548453982197,0.3,0.5838884403016422,-0.00039631354916447314,0.00039631354916447314,0.042792254239476246,simple_2_phases,2.0,2
5.0,5.0,9.486045611394601,37.27510808502709,0.48125,2.2913456275408777,0.006685732644729825,-0.006685732644729825,0.07828901332427424,simple_2_phases,5.0,2
10.0,10.0,11.578824326468222,30.6154005787089,0.525,1.5997388435547606,0.005325767932893077,-0.005325767932893077,0.11370560813928465,simple_2_phases,10.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_4_phases,0.0,4
1.0,1.0,0.8792325726865755,1.944902114928071,0.0,0.031010936940099043,-0.000223284657519085,0.000223284657519085,0.008226400918946775,simple_4_phases,1.0,4
2.0,2.0,1.044310741649646,2.546787887395392,0.0,-0.09394279135932493,0.0007984313316332092,-0.0007984313316332092,0.010278677065945596,simple_4_phases,2.0,4
5.0,5.0,1.1439399834686697,2.6491536958087605,0.0,0.16252688554988026,-0.00032306549695054754,0.00032306549695054754,0.012356209008351715,simple_4_phases,5.0,4
10.0,10.0,0.9358258373034474,2.2493058776797965,0.0,0.18542210936104198,-0.0008490961253613261,0.0008490961253613261,0.00904303099616277,simple_4_phases,10.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_24_phases,0.0,24
1.0,1.0,0.015744851629889922,0.0367768292262653,0.0,0.001040224194795769,-2.1301135826601314e-05,2.1301135826601314e-05,0.00021316218327899206,simple_24_phases,1.0,24
2.0,2.0,0.01492531094544347,0.03629218435717405,0.0,-0.003007352576148037,-2.2668031674666356e-05,2.2668031674666356e-05,0.00023724403831409946,simple_24_phases,2.0,24
5.0,5.0,0.014561553040906006,0.0318510001729976,0.0,-0.0019574735726806125,-4.164967337016989e-05,4.164967337016989e-05,0.00020991422618632516,simple_24_phases,5.0,24
10.0,10.0,0.015805395215295448,0.03393102261269121,0.0,-0.0012960486347921574,1.2605386687902786e-05,-1.2605386687902786e-05,0.00018191752688789808,simple_24_phases,10.0,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_model,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_model,1.0,1
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_model,2.0,1
5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_model,5.0,1
10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_model,10.0,1
