gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change,condition,drift_deg,time_samples,temporal_frequency_hz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_1_time,0.0,1,2.0
1.0,1.0,4.224721334130891,22.86314280404287,0.29375,0.2579011778193774,0.007844520619509465,-0.007844520619509465,0.04424298310835606,simple_1_time,1.0,1,2.0
2.0,2.0,9.050862696191189,58.248635591956436,0.41875,1.5646074407792128,0.012073649609132486,-0.012073649609132486,0.09263221462748278,simple_1_time,2.0,1,2.0
5.0,5.0,14.127038324352128,51.00188472939764,0.6125,1.9959921644012653,0.015364559530034128,-0.015364559530034128,0.1330477201645291,simple_1_time,5.0,1,2.0
10.0,10.0,19.256843663856216,43.318194356771556,0.7125,-0.6348382306347062,0.009585867546949733,-0.009585867546949733,0.1621255919048411,simple_1_time,10.0,1,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_2_times,0.0,2,2.0
1.0,1.0,3.1628523577767496,11.063942215423568,0.125,0.4819398722665227,-0.0005313597342812004,0.0005313597342812004,0.025230955427567592,simple_2_times,1.0,2,2.0
2.0,2.0,5.126612583281869,14.877999700455865,0.25,0.3215780653186613,0.0045912794839381155,-0.0045912794839381155,0.04497250966530575,simple_2_times,2.0,2,2.0
5.0,5.0,6.57773013869442,16.91409418492594,0.2625,-0.7023844966277366,-0.00628074004585405,0.00628074004585405,0.07346108668155821,simple_2_times,5.0,2,2.0
10.0,10.0,6.217536140055955,17.771404727186397,0.3125,-0.2652298611297468,-0.012254038221556962,0.012254038221556962,0.06526039540693496,simple_2_times,10.0,2,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_4_times,0.0,4,2.0
1.0,1.0,0.8792325726865755,1.9449021149280723,0.0,0.031010936940091938,-0.0002232846575191405,0.0002232846575191405,0.008226400918946664,simple_4_times,1.0,4,2.0
2.0,2.0,1.0443107416496247,2.5467878873953933,0.0,-0.09394279135932493,0.0007984313316332647,-0.0007984313316332647,0.010278677065945374,simple_4_times,2.0,4,2.0
5.0,5.0,1.1439399834686554,2.6491536958087334,0.0,0.16252688554988026,-0.00032306549695071407,0.00032306549695071407,0.01235620900835166,simple_4_times,5.0,4,2.0
10.0,10.0,0.9358258373034545,2.249305877679808,0.0,0.1854221093610562,-0.0008490961253613261,0.0008490961253613261,0.009043030996162715,simple_4_times,10.0,4,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_24_times,0.0,24,2.0
1.0,1.0,0.015744851629889922,0.0367768292262653,0.0,0.00104022419480998,-2.130113582643478e-05,2.130113582643478e-05,0.00021316218327893655,simple_24_times,1.0,24,2.0
2.0,2.0,0.01492531094544347,0.0362921843571641,0.0,-0.003007352576148037,-2.2668031674721867e-05,2.2668031674721867e-05,0.00023724403831421048,simple_24_times,2.0,24,2.0
5.0,5.0,0.014561553040906006,0.03185100017301039,0.0,-0.0019574735726806125,-4.164967337011438e-05,4.164967337011438e-05,0.00020991422618621414,simple_24_times,5.0,24,2.0
10.0,10.0,0.015805395215295448,0.03393102261270116,0.0,-0.0012960486347921574,1.2605386687791764e-05,-1.2605386687791764e-05,0.00018191752688789808,simple_24_times,10.0,24,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_model,0.0,1,2.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_model,1.0,1,2.0
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_model,2.0,1,2.0
5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_model,5.0,1,2.0
10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_model,10.0,1,2.0
