gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change
1.0,1.5,5.418654986655895,28.008193000350225,0.30666666666666664,-0.04779054852330944,-0.0005914604259180112,0.0005914604259180112,0.05143116727100333
1.5,1.5,6.401214394279762,30.425850373577497,0.37333333333333335,0.17690606930213448,-0.0026581103367598335,0.0026581103367598335,0.053865920569230286
2.0,1.5,7.781722040554143,29.00578320958398,0.4066666666666667,0.0518629587066215,0.0020316715228514415,-0.0020316715228514415,0.06219265039420557
2.5,1.5,9.076846339322202,32.01860346504228,0.4666666666666667,0.28624601173163455,0.005573064044315623,-0.005573064044315623,0.06514784317437528
3.0,1.5,10.415470938594183,33.60406491688323,0.5066666666666667,-0.027507776640476322,-0.0004850341342315101,0.0004850341342315101,0.07103878892051879
3.5,1.5,11.549272451765496,36.97258823582131,0.5233333333333333,0.003690700475218023,-0.0019605705845971433,0.0019605705845971433,0.0704049380073658
4.0,1.5,11.946414218985467,38.480341140519286,0.5433333333333333,-0.038401978840269635,-0.001777832367300003,0.001777832367300003,0.07693985004330617
4.5,1.5,13.219866677538292,37.886520540512755,0.5966666666666667,-0.04357195678344539,0.00025448413976664197,-0.00025448413976664197,0.08269917101326935
5.0,1.5,13.191089820157927,36.494364408677356,0.59,-0.6542071294996958,0.0004295051019829188,-0.0004295051019829188,0.07981790481714318
0.0,2.0,6.454067576702485,33.39166444142311,0.3433333333333333,-0.03411033100213956,0.002979469745499841,-0.002979469745499841,0.048589469217489245
0.5,2.0,6.43681372528647,31.84392353875843,0.34,-0.004670279495286422,-0.0020655033675973655,0.0020655033675973655,0.0496282861828416
1.0,2.0,6.218038561393165,33.51848209326417,0.38666666666666666,-0.020235939024104255,0.0023000524523701382,-0.0023000524523701382,0.05294605566891186
1.5,2.0,7.409711191524309,35.88528988031057,0.43,-0.4440024711279591,0.006399928848453196,-0.006399928848453196,0.06213200356262172
2.0,2.0,8.777749839069202,32.22352379743129,0.47,0.14180610651743564,0.004550716237684604,-0.004550716237684604,0.06804136727226151
2.5,2.0,10.27445712886663,33.59725067433148,0.5033333333333333,0.2559733118285408,0.002323882315540704,-0.002323882315540704,0.07259136280389167
3.0,2.0,11.0073581108324,34.45813479581975,0.5133333333333333,-0.01530649898566594,0.005857180275913587,-0.005857180275913587,0.07085963116065042
3.5,2.0,11.721024584442745,36.322703995799976,0.5566666666666666,-0.6377874601226381,-0.0014572782868190748,0.0014572782868190748,0.0784021035050742
4.0,2.0,12.43272475569588,36.60230547894059,0.5566666666666666,-0.011772047106020977,-0.0007498168548027428,0.0007498168548027428,0.07925264527592513
4.5,2.0,12.523345061784283,35.918706561921915,0.5733333333333334,0.05486291416693234,-0.0007163828707212327,0.0007163828707212327,0.08390915488917078
5.0,2.0,12.908727356681112,34.903174897959246,0.58,0.04675977074205662,0.0018297163080633894,-0.0018297163080633894,0.08418191178405376
0.0,2.5,7.994695887880546,36.140085451520015,0.43666666666666665,-0.6984108285308395,0.006492048046154497,-0.006492048046154497,0.0635905595102827
0.5,2.5,8.000302970869924,36.63400879256161,0.4033333333333333,-0.6860360769427842,0.0038809724216422037,-0.0038809724216422037,0.061022958373479375
1.0,2.5,8.014376667491007,35.279266013728325,0.42,-0.5104537624128369,0.0033849675123069356,-0.0033849675123069356,0.06553168034797213
1.5,2.5,8.570895479745573,38.003112793985,0.47333333333333333,-0.7546104568459668,-0.0006793019467720707,0.0006793019467720707,0.06628610834284471
2.0,2.5,10.627782577588178,34.89253952181224,0.5,-0.7954514964180532,0.003688803516521566,-0.003688803516521566,0.07022144472987069
2.5,2.5,10.188231318826269,34.97460437997456,0.5033333333333333,-0.4144131653742704,0.0061484123894339215,-0.0061484123894339215,0.07473979408100706
3.0,2.5,11.453675575645363,35.18034489580551,0.52,-0.513489999315297,0.0028143940050973093,-0.0028143940050973093,0.0799358098132395
3.5,2.5,12.269917393967816,35.03671140741165,0.56,-0.8262116547727771,0.0022280534817480935,-0.0022280534817480935,0.07994602668865225
4.0,2.5,12.339546842776528,33.81336217057422,0.58,-0.5760694879603818,0.00239698603860955,-0.00239698603860955,0.08094979385914058
4.5,2.5,12.397151911364446,33.22345600421521,0.55,-0.3407849859040297,0.0039505360692994596,-0.0039505360692994596,0.081429348323251
5.0,2.5,13.335016139673172,34.693556550775384,0.5733333333333334,0.15875037045535123,0.0038583030125814988,-0.0038583030125814988,0.08769323258062794
0.0,3.0,8.862387113457459,38.83648052940557,0.4533333333333333,-1.3778105188917777,0.008167771654511158,-0.008167771654511158,0.06685212656923573
0.5,3.0,10.253307668318882,40.34002745832664,0.5166666666666667,-1.4496059924126428,0.00535661293489309,-0.00535661293489309,0.07326255911622925
1.0,3.0,9.570300883920481,39.69944825626932,0.47333333333333333,-1.104086369518626,0.009759109904059315,-0.009759109904059315,0.07259609611292395
1.5,3.0,10.583544699435251,40.37652098147436,0.52,-0.8098907387828547,0.003013184476053976,-0.003013184476053976,0.07558123598782207
2.0,3.0,10.42423334095313,37.734540350973134,0.5033333333333333,-1.2402821450599788,0.0013152568206429849,-0.0013152568206429849,0.07744156400823338
2.5,3.0,10.51533084868413,36.40963923024054,0.5033333333333333,-0.5795354851351817,0.011037194505173431,-0.011037194505173431,0.07492233804098819
3.0,3.0,10.798849738713642,34.75326326444798,0.5166666666666667,-0.621850596579975,0.006398286860747782,-0.006398286860747782,0.07786992530909947
3.5,3.0,12.726262642257893,32.81884294651843,0.58,-0.27944982479806413,0.004645114650715099,-0.004645114650715099,0.07524902751949475
4.0,3.0,13.213299524453646,32.26528032570838,0.58,-0.4291096046798373,0.003534964689000608,-0.003534964689000608,0.07679095761995675
4.5,3.0,12.716649100837003,33.01361381809658,0.57,-1.0861203946332978,0.008097912759820913,-0.008097912759820913,0.07309163396503215
5.0,3.0,12.248549678354266,34.44143765869921,0.5733333333333334,-0.8267480143265828,0.010053455953808743,-0.010053455953808743,0.08083133993617103
0.0,3.5,10.235318782260592,37.593215868490766,0.51,-1.405903827526373,0.013105302254519113,-0.013105302254519113,0.08026488264017645
0.5,3.5,10.613730871221179,39.250655335462206,0.5233333333333333,-1.0417749517909982,0.010604491247320713,-0.010604491247320713,0.07996512020153562
1.0,3.5,10.690230163419237,39.633820062636225,0.5166666666666667,-1.2516858058519915,0.010566795053417843,-0.010566795053417843,0.07715419527058448
1.5,3.5,10.47677034036414,38.268446252311236,0.5066666666666667,-0.5156852764067992,0.010471045618127728,-0.010471045618127728,0.07967080657232123
2.0,3.5,9.980330260404742,38.068182963377026,0.49333333333333335,-0.7051086383752931,0.012732455310709656,-0.012732455310709656,0.08006715217691973
2.5,3.5,10.30628903168789,35.9349223831327,0.5,-1.1189905544054781,0.007586211504669982,-0.007586211504669982,0.06887939312676522
